,vehicle_name,transportation_network,vehicle_type,vehicle_tons,total_tons,emissions_perKm_tCO2,emissions_perKm_gNOX,emissions_perKm_gPM2p5,emissions_perKm_gPM10,difference,emissions_perTonKm_tCO2,emissions_perTonKm_gNOX,emissions_perTonKm_gPM10,emissions_perTonKm_gPM5,nAxels,capacity_aluminium,capacity_brick,capacity_concrete,capacity_glass,capacity_insulation,capacity_other,capacity_steel,capacity_timber
0,Bestelauto,road,diesel,1.0,3.0,0.00022647058823529412,0.99,0.0096,0.0192,0.2,,,,,2.0,0.8,2.0,3.125,0.8,0.1,1.1749999999999998,1.2,1.6
1,Bestelauto,road,electric,1.0,3.0,0.0,0.0,0.0096,0.0192,0.2,,,,,2.0,0.8,2.0,3.125,0.8,0.1,1.1749999999999998,1.2,1.6
2,Bakwagen,road,diesel,24.0,50.0,0.0015088235294117647,5.71,0.018,0.036,0.66,,,,,2.0,0.8,2.0,3.125,0.8,0.1,1.1749999999999998,1.2,1.6
3,Bakwagen,road,electric,26.0,50.0,0.0,0.0,0.018,0.036,0.66,,,,,2.0,0.8,2.0,3.125,0.8,0.1,1.1749999999999998,1.2,1.6
4,Trekker-opleggercombinatie,road,diesel,24.0,50.0,0.0015088235294117647,5.71,0.018,0.036,0.66,,,,,3.0,0.8,2.0,3.125,0.8,0.1,1.1749999999999998,1.2,1.6
5,Trekker-opleggercombinatie,road,electric,26.0,50.0,0.0,0.0,0.018,0.036,0.66,,,,,2.0,0.8,2.0,3.125,0.8,0.1,1.1749999999999998,1.2,1.6
6,Trekker-aanhangwagenkombinatie,road,diesel,24.0,50.0,0.0015088235294117647,5.71,0.018,0.036,0.66,,,,,4.0,0.8,2.0,3.125,0.8,0.1,1.1749999999999998,1.2,1.6
7,Trekker-aanhangwagenkombinatie,road,electric,26.0,50.0,0.0,0.0,0.018,0.036,0.66,,,,,4.0,0.8,2.0,3.125,0.8,0.1,1.1749999999999998,1.2,1.6
8,Langere en Zwaardere Vrachtautocombinatie,road,diesel,24.0,50.0,0.0015088235294117647,5.71,0.018,0.036,0.66,,,,,6.0,0.8,2.0,3.125,0.8,0.1,1.1749999999999998,1.2,1.6
9,Langere en Zwaardere Vrachtautocombinatie,road,electric,26.0,50.0,0.0,0.0,0.018,0.036,0.66,,,,,6.0,0.8,2.0,3.125,0.8,0.1,1.1749999999999998,1.2,1.6
10,Mixer,road,diesel,24.0,50.0,0.0015088235294117647,5.71,0.018,0.036,0.66,,,,,4.0,0.8,2.0,3.125,0.8,0.1,1.1749999999999998,1.2,1.6
11,Mixer,road,electric,26.0,50.0,0.0,0.0,0.018,0.036,0.66,,,,,4.0,0.8,2.0,3.125,0.8,0.1,1.1749999999999998,1.2,1.6
12,Kiepwagen,road,diesel,24.0,50.0,0.0015088235294117647,5.71,0.018,0.036,0.66,,,,,3.0,0.8,2.0,3.125,0.8,0.1,1.1749999999999998,1.2,1.6
13,Kiepwagen,road,electric,26.0,50.0,0.0,0.0,0.018,0.036,0.66,,,,,3.0,0.8,2.0,3.125,0.8,0.1,1.1749999999999998,1.2,1.6
14,Schip Klein,water,na,,,0.013435039370078741,175.0,4.158,8.316,,3.8385826771653546e-05,0.5,0.023760000000000003,0.01188,,140.0,350.0,546.0,140.0,17.5,203.875,210.0,280.0
15,Schip Groot,water,na,,,0.15354330708661418,2000.0,47.52,95.04000000000002,,3.8385826771653546e-05,0.5,0.023760000000000003,0.01188,,140.0,350.0,546.0,140.0,17.5,203.875,210.0,280.0
16,Trein,rail,na,,,0.009448818897637795,156.0,0.0019800000000000004,0.003960000000000001,,7.874015748031496e-06,0.13,3.3000000000000006e-06,1.6500000000000003e-06,,480.0,1200.0,1872.0,480.0,60.0,699.0,720.0,960.0
