Project name,Developer,Status,Duration,Type,Coordinates,,,
Haut,"Lingotto (and ARUP, J.P. van Eesteren)",Completed,2016-2022,Timber,"52.3702157, 4.895167899999933",,,
Switi,BPD,In progress,2023,Timber,"52.310754, 4.971066",,,
Stories,CPO,Completed,2021,Timber,"52.3960511, 4.9039024",,,
Patch 22,Lemniskade,Completed,2010-2016,Timber,"52.395259857177734, 4.905431270599365",,,
Top-up,Lemniskade,Completed,2017-2019,Timber,"52.395182, 4.9059189",,,
Horizons Amsterdam,Ballast Nedam,DO,2033/2038,Timber,"52.3756509, 4.9600253",,,
Patchwork,ABC Planontwikkeling,DO,2020- ,Timber,"52.3756509, 4.9600253",,,
Hotel Jakarta,SeArch,Completed,2013-2018,Timber,"52.3756509, 4.9600253",,,
Stepstone,Lieven de Key,In progress,2020-2024,Conventional,"52.337128, 4.863074",,,
The Valley,EDGE Technologies development,Completed,2021,Conventional,"52.3380005, 4.8774141",,,
Lycka,Eigen Haard,Completed,,Conventional,"52.3863483, 4.8375855",,,
Justus,Saref (Syntrus Achmea),In progress,2021-2024,Conventional,"52.3756509, 4.9600253",,,
Zoöp,AM Wonen,DO,2024-2026,Conventional,"52.3756509, 4.9600253",,,
World of Food 2.0,Lingotto,DO,2023-2026,Conventional,"52.3230479, 4.9564889",,,
The Ensemble,Wooden City,In progress,2025,Conventional,"52.3075, 4.97222",,,
Amsterdam Vertical,Heijmans Vastgoed,In progress,2020-2022,Conventional,"52.37403, 4.88969",,,
Crossroads,Boele & van Eesteren,In progress,2022-2025,Conventional,"52.38666, 4.83716",,,
Lovely Rita,Flow Development,In progress,2023,Conventional,"52.3880632, 4.8349139",,,
Floating Gardens,Synchroon,In progress,2022-2024,Conventional,"52.3852457, 4.8321613",,,
De Werf,COD Development,Completed,2019,Conventional,"52.403991, 4.888953",,,
Spot Amsterdam,COD Development,In progress,2019-2024,Conventional,"52.314353, 4.9428431",,,
Het Dok,COD Development,Completed,2019-2022,Conventional,"52.4016881, 4.8990641",,,
Bajeskwartier,AM Wonen,In progress,2019-2026,Circular,"52.37403, 4.88969",,,
The Pulse,VORM Holding,In progress,2024,Circular,"52.3369678, 4.8639174",,,
Crossover,AM Wonen,In progress,2021-2023,Circular,"52.3384107, 4.8932634",,,
YOTEL Amsterdam,Being Development,Completed,2015-2019,Circular,"52.3917341, 4.9024392",,,
Juf Nienke,Dokvast,Completed,2022,Timber/modular,"52.353964, 5.014631",,,
Robin Wood,Edwin Oostmeijer Projectontwikkeling,In progress,2020-2024,Timber/modular,"52.353964, 5.014631",,,
Poppies,Edwin Oostmeijer Projectontwikkeling,In progress,2018,Timber/modular,"52.40257551863023, 4.893147521029987",,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
