year,material,emissions
2023,concrete_in-situ,0.0
2023,gravel_sand,0.0
2023,timber,0.0
2023,steel,0.0
2023,modules,0.0
2024,concrete_in-situ,317.72206323959153
2024,gravel_sand,85.02528718709873
2024,timber,4.887989763779513
2024,steel,1.86419232283464
2024,modules,807.2820453581284
2025,concrete_in-situ,1205.2644460282454
2025,gravel_sand,263.01236538188095
2025,timber,12.20409419291335
2025,steel,9.301427066929106
2025,modules,2865.1702322606166
2026,concrete_in-situ,2300.154884093571
2026,gravel_sand,502.3923611571331
2026,timber,18.253569980314904
2026,steel,14.424530019685
2026,modules,4538.413068807171
2027,concrete_in-situ,3495.023477851173
2027,gravel_sand,724.366782229454
2027,timber,26.544547736220384
2027,steel,18.520524212598367
2027,modules,5575.8625925297065
2028,concrete_in-situ,4561.429036222588
2028,gravel_sand,903.8499331555632
2028,timber,31.873609842519574
2028,steel,23.337603838582602
2028,modules,6482.183461364211
2029,concrete_in-situ,5199.0780590859895
2029,gravel_sand,1038.9805511119614
2029,timber,34.860675885826645
2029,steel,25.365837992125904
2029,modules,7118.417331722323
2030,concrete_in-situ,5868.089509410427
2030,gravel_sand,1151.6759846291802
2030,timber,40.44962539370064
2030,steel,29.048355413385732
2030,modules,7928.0107272144005
2031,concrete_in-situ,6321.643376317813
2031,gravel_sand,1226.6581239521354
2031,timber,44.451305610236055
2031,steel,30.788327362204623
2031,modules,8426.06737024158
2032,concrete_in-situ,6609.641906862393
2032,gravel_sand,1266.2383056356416
2032,timber,46.63589675196833
2032,steel,31.690409645669185
2032,modules,8426.06737024158
2033,concrete_in-situ,6777.408462921317
2033,gravel_sand,1276.0289167271485
2033,timber,47.5379790354329
2033,steel,32.59249192913375
2033,modules,8426.06737024158
2034,concrete_in-situ,6777.408462921317
2034,gravel_sand,1276.0289167271485
2034,timber,47.5379790354329
2034,steel,32.59249192913375
2034,modules,8426.06737024158
