,emissions_s2h,emissions_h2c,emissions_total
0,1433.116754609949,10.48856028102827,1443.6053148909773
1,2799.803543350345,20.870179727338467,2820.6737230776835
2,4296.631182480173,31.175502686645927,4327.806685166819
3,5695.470447462717,41.04236090625702,5736.512808368974
4,7128.305523939831,51.74545728435832,7180.050981224189
5,8583.308678210255,62.282469157422256,8645.591147367677
6,9049.663236741026,67.92484546590417,9117.58808220693
7,9075.357235711252,68.98583244531872,9144.34306815657
8,9075.483521824342,69.00187599408657,9144.48539781843
9,9075.483521824342,69.00187599408657,9144.48539781843
